concelho.y,ano,Pop,H,M
Ponte de Lima,2010,43554,20550,23004
Valença,2010,14155,6630,7525
Viana do Castelo,2010,88851,41954,46897
Vila Nova de Cerveira,2010,9291,4435,4856
Amares,2010,18901,9142,9759
Barcelos,2010,120458,58341,62117
Braga,2010,181481,86724,94757
Esposende,2010,34289,16297,17992
Terras de Bouro,2010,7280,3485,3795
Vila Verde,2010,47974,22998,24976
Fafe,2010,50684,23965,26719
Guimarães,2010,158211,76861,81350
Póvoa de Lanhoso,2010,21896,10423,11473
Santo Tirso,2010,71612,34379,37233
Trofa,2010,39033,18844,20189
Vieira do Minho,2010,13021,6264,6757
Vila Nova de Famalicão,2010,133901,64918,68983
Vizela,2010,23746,11660,12086
Espinho,2010,31817,15121,16696
Gondomar,2010,168168,81131,87037
Maia,2010,135330,64891,70439
Matosinhos,2010,175600,83542,92058
Porto,2010,238046,108348,129698
Póvoa de Varzim,2010,63483,30023,33460
Valongo,2010,93901,45067,48834
Vila do Conde,2010,79582,38493,41089
Vila Nova de Gaia,2010,302541,144683,157858
Amarante,2010,56314,27002,29312
Baião,2010,20561,9831,10730
Cabeceiras de Basto,2010,16739,8132,8607
Castelo de Paiva,2010,16756,8196,8560
Celorico de Basto,2010,20133,9769,10364
Cinfães,2010,20464,9951,10513
Felgueiras,2010,58114,28148,29966
Lousada,2010,47414,23100,24314
Marco de Canaveses,2010,53507,26083,27424
Mondim de Basto,2010,7522,3610,3912
Paços de Ferreira,2010,56350,28103,28247
Paredes,2010,86849,42538,44311
Penafiel,2010,72330,35240,37090
Resende,2010,11397,5540,5857
Ribeira de Pena,2010,6564,3213,3351
Arouca,2010,22380,10820,11560
Oliveira de Azeméis,2010,68700,33327,35373
Santa Maria da Feira,2010,139404,67471,71933
São João da Madeira,2010,21723,10234,11489
Vale de Cambra,2010,22906,11104,11802
Alijó,2010,11962,5781,6181
Armamar,2010,6324,2997,3327
Carrazeda de Ansiães,2010,6389,3074,3315
Freixo de Espada à Cinta,2010,3793,1831,1962
Lamego,2010,26745,12745,14000
Mesão Frio,2010,4444,2120,2324
Moimenta da Beira,2010,10211,4888,5323
Penedono,2010,2962,1419,1543
Peso da Régua,2010,17157,8124,9033
